syntax,when_used,category,examples,who_says
"MAINTAIN OWN SEPARATION AND VMC ABOVE (or BELOW, or TO) (level).",To require an aircraft to climb or descent maintaining own separation and VMC.,General,LGL123 maintain own separation and VMC below FL210.,The Controller
MAINTAIN OWN SEPARATION.,No data,Approach Control Services,LGL123 maintain own separation.,The Controller
MAINTAIN PRESENT SPEED.,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 maintain present speed.,The Controller
MAINTAIN VMC.,No data,Approach Control Services,LGL123 maintain VMC.,The Controller
MAKE A THREE SIXTY TURN LEFT (or RIGHT) [reason].,"ManoeuvresApplicable when an ATS surveillance system is used in the provision of ATSNote.— When it is necessary to specify a reason for vectoring or for the above manoeuvres, the following phraseologies should be used:a) DUE TRAFFIC.b) FOR SPACING.c) FOR DELAY.d) FOR DOWNWIND (or BASE, or FINAL).",General ATS Surveillance Service Phraseologies,LGL123 make a three sixty turn left for spacing.,The Controller
"MAKE ALL TURNS RATE ONE (or RATE HALF, or (number) DEGREES PER SECOND) START AND STOP ALL TURNS ON THE COMMAND “NOW”.",In case of unreliable directional instruments on board aircraft,General ATS Surveillance Service Phraseologies,"LGL123 make all turns rate one, start and stop all turns on the command “now”.",The Controller
MAKE ANOTHER CIRCUIT,Delaying aircraft,Aerodrome and Vicinity,SBC make another circuit.,The Controller
MAKE FULL STOP,To instruct an aircraft to make a full stop landing (usually after performing a number of touch and goes).,Aerodrome and Vicinity,SBC make full stop.,The Controller
MAKE LONG APPROACH (or EXTEND DOWNWIND).,No data,Aerodrome and Vicinity,SBC make long approach.,The Controller
MAKE SHORT APPROACH,No data,Aerodrome and Vicinity,SBC make short approach.,The Controller
"MAKE STRAIGHT-IN (or CIRCLING APPROACH, LEFT (or RIGHT) TURN TO (location, runway, taxiway, final approach and take-off area)) [ARRIVAL (or ARRIVAL ROUTE) (number, name, or code)]. [HOLD SHORT OF (active runway, extended runway centre line, other)]. [REMAIN (direction or distance) FROM (runway, runway centre line, other helicopter or aircraft)]. [CAUTION (power lines, unlighted obstructions, wake turbulence, etc.)]. CLEARED TO LAND.",For helicopter operations.,Aerodrome and Vicinity,Helicopter one make straight-in hold short of extended runway centre line runway zero niner. Cleared to land.,The Controller
"MAKE STRAIGHT-IN APPROACH, RUNWAY (number) [SURFACE] WIND (direction and speed) (units) [TEMPERATURE [MINUS] (number)] QNH (or QFE) (number) [(units)] [TRAFFIC (detail)].",Entering the circuit,Aerodrome and Vicinity,"SEABC make straight-in approach, runway zero niner, surface wind one hundred degrees six knots temperature minus two QNH one zero one five.",The Controller
MAY WE CHANGE CLEARANCE OF (aircraft call sign) TO (details of alteration proposed).,Change of clearance. Said by requesting unit,Coordination between ATS Units,May we change clearance of LGL123 to descend to proceed via FINDO.,The Controller
Mayday Mayday Mayday (reason),"In addition to being preceded by the radiotelephony distress signal MAYDAY, preferably spoken three times, the distress message to be sent by an  aircraft in distress shall:a) be on the air-ground frequency in use at the time.b) consist of as many as possible of the following elements spoken distinctly and, if possible, in the following order:1) name of the station addressed (time and circumstances permitting).2) the identification of the aircraft.3) the nature of the distress condition.4) intention of the person in command.5) present position, level (i.e. flight level, altitude, etc., as appropriate) and heading.",Emergency or unusual situation,"LGL123, mayday, mayday, mayday, fire onboard.",The Pilot
MONITOR,Means: “Listen out on (frequency).”,General,LGL123 monitor Tampere control one one eight decimal zero zero five,The Controller
MONITOR (unit call sign) (frequency).,An aircraft may be requested to “STAND BY” on afrequency when it is intended that the ATS unit will initiate communications soon and to “MONITOR” a frequency when information is being broadcast thereon. Pilot responds: MONITORING (frequency),General,LGL123 monitor Tampere control one two four decimal one five.,The Controller
NEGATIVE,Means: “No” or “Permission not granted” or “That is not correct” or “Not capable”.,General,"Negative, LGL123.",The Controller
"NEGATIVE RVSM [(supplementary information, e.g. State aircraft)].","To verbally supplement estimate messages of aircraft non-approved for RVSM or to verbally supplement an automated estimate message exchange that does not automatically transfer information from Item 18 of the flight plan followed by supplementary information, as appropriate",Coordination between ATS Units,"Negative RVSM, state aircraft.",The Controller
NEXT REPORT AT (significant point).,Position reporting.Applicable when an ATS surveillance system is used in the provision of ATS.,General ATS Surveillance Service Phraseologies,LGL123 next report at Brussels.,The Controller
NEXT REPORT AT (significant point).,No data,General,LGL123 next report at WIBOR.,The Controller
NO [ATC] SPEED RESTRICTIONS.,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 no ATC speed restrictions.,The Controller
NO DELAY EXPECTED.,No data,"Approach Control Services, Area Control Services",LGL123 no delay expected.,The Controller
NO DETAILS,Receiving unit reply (if flight plan details are not available to which sending unit replies with full estimate).,Coordination between ATS Units,No details.,The Controller
NO REPORTED TRAFFIC,To pass traffic information,General,LGL123 no reported traffic.,The Controller
"NOT IDENTIFIED [reason], [RESUME (or CONTINUE) OWN NAVIGATION].",Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,"LGL123 not identified due to equipment failure, resume own navigation.",The Controller
NUMBER ... FOLLOW (aircraft type and position) [additional instructions if required].,In the circuit,Aerodrome and Vicinity,SBC number two follow Fokker five zero on short final.,The Controller
Numbers in aircraft call signs,"All numbers shall be transmitted by pronouncing each digit separately, except those used in the transmission of altitude, cloud height, visibility and runway visual range (RVR) information, which contain whole hundreds and whole thousands, shall be transmitted by pronouncing each digit in the number of hundreds or thousands followed by the word HUNDRED or THOUSAND as appropriate. Combinations of thousands and whole hundreds shall be transmitted by pronouncing each digit in the number of thousands followed by the word THOUSAND followed by the number of hundreds followed by the word HUNDRED.",General,LGL123 Luxair one two three,The Controller
Numbers in altimeter setting,"All numbers shall be transmitted by pronouncing each digit separately, except those used in the transmission of altitude, cloud height, visibility and runway visual range (RVR) information, which contain whole hundreds and whole thousands, shall be transmitted by pronouncing each digit in the number of hundreds or thousands followed by the word HUNDRED or THOUSAND as appropriate. Combinations of thousands and whole hundreds shall be transmitted by pronouncing each digit in the number of thousands followed by the word THOUSAND followed by the number of hundreds followed by the word HUNDRED.",General,1 010 - QNH one zero one zero,The Controller
Numbers in altitude information,"All numbers shall be transmitted by pronouncing each digit separately, except those used in the transmission of altitude, cloud height, visibility and runway visual range (RVR) information, which contain whole hundreds and whole thousands, shall be transmitted by pronouncing each digit in the number of hundreds or thousands followed by the word HUNDRED or THOUSAND as appropriate. Combinations of thousands and whole hundreds shall be transmitted by pronouncing each digit in the number of thousands followed by the word THOUSAND followed by the number of hundreds followed by the word HUNDRED.",General,12 000 ft one two thousand feet,The Controller
Numbers in cloud height,"All numbers shall be transmitted by pronouncing each digit separately, except those used in the transmission of altitude, cloud height, visibility and runway visual range (RVR) information, which contain whole hundreds and whole thousands, shall be transmitted by pronouncing each digit in the number of hundreds or thousands followed by the word HUNDRED or THOUSAND as appropriate. Combinations of thousands and whole hundreds shall be transmitted by pronouncing each digit in the number of thousands followed by the word THOUSAND followed by the number of hundreds followed by the word HUNDRED.",General,2 200 ft - two thousand two hundred feet,The Controller
Numbers in flight levels,"All numbers shall be transmitted by pronouncing each digit separately, except those used in the transmission of altitude, cloud height, visibility and runway visual range (RVR) information, which contain whole hundreds and whole thousands, shall be transmitted by pronouncing each digit in the number of hundreds or thousands followed by the word HUNDRED or THOUSAND as appropriate. Combinations of thousands and whole hundreds shall be transmitted by pronouncing each digit in the number of thousands followed by the word THOUSAND followed by the number of hundreds followed by the word HUNDRED.",General,FL 180 - flight level one eight zero,The Controller
Numbers in runway designator,"All numbers shall be transmitted by pronouncing each digit separately, except those used in the transmission of altitude, cloud height, visibility and runway visual range (RVR) information, which contain whole hundreds and whole thousands, shall be transmitted by pronouncing each digit in the number of hundreds or thousands followed by the word HUNDRED or THOUSAND as appropriate. Combinations of thousands and whole hundreds shall be transmitted by pronouncing each digit in the number of thousands followed by the word THOUSAND followed by the number of hundreds followed by the word HUNDRED.",General,27 - runway two seven,The Controller
Numbers in runway visual range,"All numbers shall be transmitted by pronouncing each digit separately, except those used in the transmission of altitude, cloud height, visibility and runway visual range (RVR) information, which contain whole hundreds and whole thousands, shall be transmitted by pronouncing each digit in the number of hundreds or thousands followed by the word HUNDRED or THOUSAND as appropriate. Combinations of thousands and whole hundreds shall be transmitted by pronouncing each digit in the number of thousands followed by the word THOUSAND followed by the number of hundreds followed by the word HUNDRED.",General,Runway visual range runway zero niner six hundred metres.,The Controller
Numbers in transponder codes,"All numbers shall be transmitted by pronouncing each digit separately, except those used in the transmission of altitude, cloud height, visibility and runway visual range (RVR) information, which contain whole hundreds and whole thousands, shall be transmitted by pronouncing each digit in the number of hundreds or thousands followed by the word HUNDRED or THOUSAND as appropriate. Combinations of thousands and whole hundreds shall be transmitted by pronouncing each digit in the number of thousands followed by the word THOUSAND followed by the number of hundreds followed by the word HUNDRED.DRED.",General,2 400 - squawk two four zero zero,The Controller
Numbers in visibility,"All numbers shall be transmitted by pronouncing each digit separately, except those used in the transmission of altitude, cloud height, visibility and runway visual range (RVR) information, which contain whole hundreds and whole thousands, shall be transmitted by pronouncing each digit in the number of hundreds or thousands followed by the word HUNDRED or THOUSAND as appropriate. Combinations of thousands and whole hundreds shall be transmitted by pronouncing each digit in the number of thousands followed by the word THOUSAND followed by the number of hundreds followed by the word HUNDRED.",General,Visibility 1000m - Visibility one thousand meters,The Controller
OMIT POSITION REPORTS [UNTIL (specify)].,Position reporting.Applicable when an ATS surveillance system is used in the provision of ATS.,General ATS Surveillance Service Phraseologies,LGL123 omit position reports until Brussels.,The Controller
OMIT POSITION REPORTS [UNTIL (specify)].,To omit position reports until a specified position.,General,LGL123 omit position reports until WIBOR.,The Controller
ON GLIDE PATH.,Radar in approach control service.PAR Approach.Elevation.,Approach Control Services,LGL123 on glide path.,The Controller
ON TRACK.,Radar in approach control service.Related to azimuth information in PAR approach service.,Approach Control Services,LGL123 on track.,The Controller
"ORBIT (RIGHT, or LEFT) [FROM PRESENT POSITION].",Delaying aircraft,Aerodrome and Vicinity,SBC orbit left from present position.,The Controller
ORBIT LEFT (or RIGHT) [reason].,"ManoeuvresApplicable when an ATS surveillance system is used in the provision of ATSNote.— When it is necessary to specify a reason for vectoring or for the above manoeuvres, the following phraseologies should be used:a) DUE TRAFFIC.b) FOR SPACING.c) FOR DELAY.d) FOR DOWNWIND (or BASE, or FINAL).",General ATS Surveillance Service Phraseologies,LGL123 orbit left for delay.,The Controller
OUT,Means: “This exchange of transmissions is ended and no response is expected.”Note.— Not normally used in VHF communications.,General,Out.,The Controller
OVER,"Means: “My transmission is ended, and I expect a response from you.”Note.— Not normally used in VHF communications.",General,Over.,The Controller
OVER APPROACH LIGHTS.,Radar in approach control service.PAR Approach.Related to position information in PAR approach service.,Approach Control Services,LGL123 over approach lights.,The Controller
OVER THRESHOLD,Radar in approach control service.PAR Approach.Related to position information in PAR approach service.,Approach Control Services,LGL123 over threshold.,The Controller
OVER THRESHOLD.,Radar in approach control serviceSurveillance radar approachChecks,Approach Control Services,LGL123 over threshold.,The Controller
"Pan Pan, Pan Pan, Pan Pan (reason)","In addition to being preceded by the radiotelephony urgency signal PAN PAN, preferably spoken three times and each word of the group pronounced as the French word “panne”, the urgency message to be sent by an aircraft reporting an urgency condition shall:a) be on the air-ground frequency in use at the time.b) consist of as many as required of the following elements spoken distinctly and, if possible, in the following order:1) the name of the station addressed.2) the identification of the aircraft.3) the nature of the urgency condition.4) the intention of the person in command.5) present position, level (i.e. flight level, altitude, etc., as appropriate) and heading.6) any other useful information.",Emergency or unusual situation,"Approach, AFR411, PAN PAN, PAN PAN, PAN PAN, SICK PERSON ONBOARD, SUSPECTED HEART ATTACK",The Pilot
PILOT REPORTS (weather information).,To pass information on aerodrome conditions.,Aerodrome and Vicinity,Pilot reports wind sheer final runway zero niner.,The Controller
POSITION (distance) (direction) OF (significant point) (or OVER or ABEAM (significant point)).,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 position over ELLEN,The Controller
POSITION (number) KILOMETRES (or MILES) from (fix). TURN LEFT (or RIGHT) HEADING (three digits).,Radar in approach control service.Vectoring for ILS and other pilot-interpreted aids.,Approach Control Services,"LGL123 position eight miles from Oscar Whisky, turn right heading  three five zero.",The Controller
PRECISION APPROACH NOT AVAILABLE DUE (reason) (alternative instructions).,Radar in approach control serviceExplains provision of PAR approach service,Approach Control Services,LGL123 precision approach not available due to unservicability of instruments,The Controller
PRESENT WEATHER (details).,"The details are: mean surface wind direction and speed and significant variations there from:b) visibility, including significant directional variations.c) runway visual range (RVR).d) present weather.e) amount and height of base of low cloud.f) air temperature and dew-point temperature.g) altimeter setting(s). andh) supplementary information.Note.— Information on surface wind direction provided to ATS units by the associated meteorological office is referenced to degrees true North. Information on surface wind direction obtained from the ATS surface wind indicator and passed to pilots by ATS units is given in degrees magnetic.",General,"Present weather, rain.",The Controller
PRIMARY RADAR OUT OF SERVICE (appropriate information as necessary).,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 primary radar out of service.,The Controller
PROCEED OFFSET (distance) RIGHT/LEFT OF (route) (track) [CENTRE LINE] [AT (significant point or time)] [UNTIL (significant point or time)].,"Instructions associated with flying a track (offset), parallel to the cleared route.",Area Control Services,LGL123 proceed offset one five miles right of upper Mike seven three zero centre line until STEVE.,The Controller
PUSHBACK [APPROVED or AT OWN DISCRETION] or STANDBY,"Note. - When local procedures so prescribe, authorization for pushback should be obtained from the control tower.",Aerodrome and Vicinity,LGL123 pushback approved,The Controller
PUSHBACK COMPLETED.,Pilot answers: STOP PUSHBACK.,Ground Crew,LGL123 pushback completed.,The Controller
QFE (number) [(units)].,Altimeter setting procedures.,General,QFE niner niner five.,The Controller
QNH (number) [units].,Altimeter setting procedures.,General,QNH one zero one two.,The Controller
RADAR CONTACT [position].,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 radar contact.,The Controller
RADAR SERVICE (or IDENTIFICATION) TERMINATED [DUE (reason)] (instructions).,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 radar control terminated due to leaving radar coverage.,The Controller
RATE OF DESCENT IS GOOD.,Radar in approach control service.PAR Approach.Elevation.,Approach Control Services,LGL123 rate of descent is good.,The Controller
RE-ENTER [ADS-B or MODE S] AIRCRAFT IDENTIFICATION.,To request reselection of aircraft identification,SSR and ADS-B Phraseologies,LGL123 re enter Mode S aircraft identification.,The Controller
READ BACK,"Means: “Repeat all, or the specified part, of this message back to me exactly as received.”",General,LGL123 read back clearance.,The Controller
RECLEARED,Means:  “A change has been made to your last clearance and this new clearance supersedes your previous clearance or part thereof.”,General,LGL123 recleared FL330.,The Controller
RECLEARED (amended clearance details) [REST OF CLEARANCE UNCHANGED].,When a change has been made to the last clearance and this new clearance supersedes the previous clearance or part thereof.,"Area Control Services, General","LGL123 recleared upper november two six zero to HARBO, rest of clearance unchanged.",The Controller
RECLEARED (amended route portion) TO (significant point of original route) [REST OF CLEARANCE UNCHANGED].,When a change has been made to the last clearance and this new clearance supersedes the previous clearance or part thereof.,"Area Control Services, General","LGL123 recleared upper golf one to FRANKI, rest of clearance unchanged.",The Controller
REDUCE TO MINIMUM APPROACH SPEED.,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 reduce to minimum approach speed.,The Controller
REDUCE TO MINIMUM CLEAN SPEED.,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 reduce to minimum clean speed.,The Controller
REMAIN THIS FREQUENCY.,Transfer of control and/or frequency change.,General,LGL123 remain this frequency.,The Controller
REPLY NOT RECEIVED (instructions).,No reply from an aircraft.,General ATS Surveillance Service Phraseologies,"LGL123 reply not received, send again",The Controller
REPLY NOT RECEIVED. WILL CONTINUE INSTRUCTIONS.,Radar in approach control serviceRelated to communications in PAR approach service,Approach Control Services,LGL123 reply not received will continue instructions.,The Controller
REPORT,Means:  “Pass me the following information...”,General,LGL123 report flight conditions.,The Controller
REPORT (distance) MILES (GNSS or DME) FROM (name of DME station) (or significant point).,To request a report at a specified place or distancePilot reports: (distance) MILES (GNSS or DME) FROM (name of DME station) (or significant point).,General,LGL123 report one five miles from Horn DME.,The Controller
REPORT (GNSS or DME) DISTANCE FROM (significant point) or (name of DME station).,To request a report of present positionPilot reports: (distance) MILES (GNSS or DME) FROM (name of DME station) (or significant point).,General,LGL123 report distance from TONPA,The Controller
"REPORT (significant point). [OUTBOUND, or INBOUND].",To request a report.,Approach Control Services,LGL123 report Oscar Whisky outbound.,The Controller
REPORT AIRBORNE,Turn or climb instructions after take off. To request airborne time.,Aerodrome and Vicinity,LGL123 report airborne.,The Controller
"REPORT BASE (or FINAL, or LONG FINAL).",Note.— The report “LONG FINAL” is made when aircraft turn on to final approach at a distance greater than 7 km (4 NM) from touchdown or when an aircraft on a straight-in approach is 15 km (8 NM) from touchdown. In both cases a report “FINAL” is required at 7 km (4 NM) from touchdown.,Aerodrome and Vicinity,SBC report base.,The Controller
REPORT COMMENCING PROCEDURE TURN.,To request a pilot report when procedure turn is commenced during approach.,Approach Control Services,LGL123 report commencing procedure turn.,The Controller
REPORT ESTABLISHED ON [ILS] LOCALISER (or ON GBAS/SBAS/MLS APPROACH COURSE).,Radar in approach control service.Vectoring for ILS and other pilot-interpreted aids.Instructions and information.,Approach Control Services,LGL123 report established on ILS localiser.,The Controller
REPORT ESTABLISHED ON GLIDE PATH.,Radar in approach control service.Vectoring for ILS and other pilot-interpreted aids.Instructions and information.,Approach Control Services,LGL123 report established on glide path.,The Controller
REPORT FLIGHT CONDITIONS,To request a pilot report about meteorological conditions.,General,LGL123 report flight conditions.&lt;br /&gt;,The Controller
REPORT HEADING [AND FLIGHT LEVEL (or ALTITUDE)].,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 report heading.,The Controller
"REPORT LEAVING (or REACHING, or PASSING) (level).",No data,General,LGL123 report leaving FL310.,The Controller
REPORT PASSING (significant point).,No data,General,LGL123 report passing Boman.,The Controller
REPORT PASSING (three digits) RADIAL (name of VOR) VOR.,No data,General,LGL123 report passing one one zero radial Veta VOR.,The Controller
REPORT RUNWAY [LIGHTS] IN SIGHT.,No data,Approach Control Services,LGL123 report runway lights in sight.,The Controller
REPORT RUNWAY [LIGHTS] IN SIGHT.,Surveillance radar approach. Radar in approach control service. To inform of completion of approach.,Approach Control Services,LGL123 report runway in sight.,The Controller
REPORT RUNWAY [LIGHTS] IN SIGHT.,Radar in approach control service. Related to completion of approach in PAR approach service.,Approach Control Services,LGL123 report runway in sight.,The Controller
REPORT SPEED,Applicable when an ATS surveillance system is used in the provision of ATSPilot answers: SPEED (number) KILOMETRES PER HOUR (or KNOTS).,General ATS Surveillance Service Phraseologies,LGL123 report speed.,The Controller
REPORT VISUAL.,Radar in approach control service. Related to completion of approach in PAR approach service.,Approach Control Services,LGL123 report visual.,The Controller
REPORT VISUAL.,Surveillance radar approach. Radar in approach control service. To inform of completion of approach.,Approach Control Services,LGL123 report visual.,The Controller
REPORT VISUAL.,No data,Approach Control Services,LGL123 report visual.,The Controller
REPORT WHEN ABLE TO RESUME RVSM,To request an aircraft to provide information as soon as RVSM approved status has been regained or the pilot is ready to resume RVSM operations,Area Control Services,LGL123 report able to resume RVSM.,The Controller
REPORT WHEN READY [FOR DEPARTURE].,Pilot answers: Ready,Aerodrome and Vicinity,LGL123 report when ready for departure.,The Controller
REPORTS REQUIRED ONLY AT (significant point(s)).,Position reporting.Applicable when an ATS surveillance system is used in the provision of ATS.,General ATS Surveillance Service Phraseologies,LGL123 next report required only at Brussels and Diekirch.,The Controller
REQUEST,Means: “I should like to know...” or “I wish to obtain...”,General,LGL123 request level change from Tampere control at time four five.,The Controller
REQUEST (distance) FINAL.,Radar in approach control service.Vectoring for ILS and other pilot-interpreted aids.,"Approach Control Services, Aircraft",LGL123 request eight miles final.,The Pilot
REQUEST (MLS/RNAV plain-language designator).,No data,Approach Control Services,"Bilbo Approach, LGL123 request MLS approach runway zero niner.",The Pilot
REQUEST (type of approach) APPROACH [RUNWAY (number)].,No data,Approach Control Services,LGL123 request VOR DME approach procedure.,The Pilot
REQUEST AIR-TAXIING FROM (or VIA) TO (location or routing as appropriate).,For helicopter operations,"Aerodrome and Vicinity, Aircraft",Helicopter one request air-taxiing to apron North.,The Pilot
REQUEST BACKTRACK.,To request backtrack (usually after landing).,"Aerodrome and Vicinity, Aircraft",LGL123 request backtrack.,The Pilot
REQUEST CHANGE TO (frequency).,Controller responds: FREQUENCY CHANGE APPROVED / DENIED,"Aircraft, General",LGL123 request change to one two four decimal one five.,The Pilot
REQUEST CROSS RUNWAY (number).,To request crossing a runway,"Aerodrome and Vicinity, Aircraft",LGL123 request cross runway zero niner.,The Pilot
REQUEST DEPARTURE INFORMATION,To request aerodrome data for departure,"Aerodrome and Vicinity, Aircraft",LGL123 request departure information.,The Pilot
REQUEST DEPARTURE INSTRUCTIONS,To request departure instructions,"Aerodrome and Vicinity, Aircraft",LGL123 request departure instructions.,The Pilot
REQUEST DESCENT AT (time).,No data,Aircraft,"Request descent at time four five, LGL123.",The Pilot
REQUEST HOLDING INSTRUCTIONS.,No data,"Approach Control Services, Area Control Services, Aircraft",LGL123 request holding instructions.,The Pilot
REQUEST LEVEL (or FLIGHT LEVEL or ALTITUDE) CHANGE FROM (name of unit) [AT (time or significant point)].,No data,General,LGL123 request flight level change from Tampere control at RUNUS.,The Controller
REQUEST LOW APPROACH (reasons).,"Done to make an approach along, or parallel to a runway, descending to an agreed minimum level.","Aerodrome and Vicinity, Aircraft",SBC request low approach for training.,The Pilot
REQUEST LOW PASS (reasons).,To fly past the control tower or other observation point for the purpose of visual inspection by persons on the ground.,"Aerodrome and Vicinity, Aircraft",SBC request low pass to check if right wheel is out.,The Pilot
REQUEST RELEASE OF (aircraft call sign).,By requesting unit when requesting a release of an aircraft.,Coordination between ATS Units,Request release of LGL123.,The Controller
REQUEST RIGHT (or LEFT) TURN,Turn or climb instructions after take off.,"Aerodrome and Vicinity, Aircraft",LGL123 request right turn,The Pilot
"REQUEST STRAIGHT-IN (or CIRCLING APPROACH, LEFT (or RIGHT) TURN TO (location)).",For helicopter operations.,"Aerodrome and Vicinity, Aircraft",Helicopter one request straight-in to apron North.,The Pilot
REQUEST STRAIGHT-IN [(type of approach)] APPROACH [RUNWAY (number)].,To request straight-in approach.,Approach Control Services,LGL123 request straight-in ILS approach runway zero niner.,The Pilot
REQUEST TIME CHECK.,To request a time check,"Aerodrome and Vicinity, Aircraft",LGL123 request time check,The Pilot
REQUEST TOW [company name] (aircraft type) FROM (location) TO (location).,Pilot or tow vehicle transmission,"Aerodrome and Vicinity, Aircraft",Tow vehicle one request tow Luxair Fokker five zero from terminal to apron North.,The Pilot
REQUEST VISUAL APPROACH.,No data,Approach Control Services,LGL123 request visual approach.,The Pilot
REQUEST VMC DESCENT,No data,Approach Control Services,LGL123 request VMC descent.,The Pilot
RESET SQUAWK [(mode)] (code).,Pilot answers: ResettingTo request the pilot to reselect the assigned mode and code,SSR and ADS-B Phraseologies,LGL123 reset squawk Charlie four one six two.,The Controller
RESUME NORMAL RATE OF DESCENT.,Radar in approach control service.PAR Approach.Elevation.,Approach Control Services,LGL123 resume normal rate of descent.,The Controller
RESUME NORMAL SPEED,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 resume normal speed.,The Controller
RESUME OWN NAVIGATION (position of aircraft) (specific instructions).,Termination of VectoringApplicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,"LGL123 resume own navigation, one one miles south of SKI, report SKI to Horn control, one two three decimal seven five zero.",The Controller
RESUME OWN NAVIGATION [DIRECT] (significant point) [MAGNETIC TRACK (three digits) DISTANCE (number) KILOMETRES (or MILES)].,Termination of VectoringApplicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 resume own navigation SKI,The Controller
RESUME POSITION REPORTING.,Position reporting.Applicable when an ATS surveillance system is used in the provision of ATS.,General ATS Surveillance Service Phraseologies,LGL123 resume position reporting.,The Controller
RESUME POSITION REPORTING.,No data,General,LGL123 resume position reporting.,The Controller
REVERT TO FLIGHT PLAN CALL SIGN (call sign) [AT (significant point)].,To advise an aircraft to revert to the call sign indicated in the flight plan,General,LGL123A revert to flight plan call  sign LGL123 at SKILO.,The Controller
REVISED EXPECTED APPROACH TIME (time).,No data,"Approach Control Services, Area Control Services",LGL123 revised expected approach time four six.,The Controller
REVISION (aircraft call sign) (details as necessary).,Sending unit,Coordination between ATS Units,Revision LGL123 estimating BURKI at time four seven.,The Controller
RIGHT (or LEFT) TURN APPROVED,Turn or climb instructions after take off,Aerodrome and Vicinity,LGL123 right turn approved,The Controller
"RIGHT (or LEFT, or NOSE) WHEEL APPEARS UP (or DOWN).",When pilot requested visual inspection of landing gear.,Aerodrome and Vicinity,SBC right wheel appears up.,The Controller
"RIGHT (or LEFT, or NOSE) WHEEL DOES NOT APPEAR UP (or DOWN).",When pilot requested visual inspection of landing gear.,Aerodrome and Vicinity,SBC left wheel does not appear down,The Controller
ROGER,Means: “I have received all of your last transmission.”Note.— Under no circumstances to be used in reply to a question requiring “READ BACK” or a direct answer in the affirmative (AFFIRM) or negative (NEGATIVE).,General,"Roger, LGL123.",The Controller
RUNWAY (number) CLEARED FOR TAKE-OFF [REPORT AIRBORNE].,To issue a take-off clearance.,Aerodrome and Vicinity,"LGL123, runway zero niner cleared for take off",The Controller
RUNWAY (number) CLEARED TO LAND,To clear an aircraft for landing.,Aerodrome and Vicinity,"LGL123 runway zero niner, cleared to land.",The Controller
"RUNWAY (number), WIND (direction and speed) (units) QNH (or QFE) (number) [(units)] TEMPERATURE [MINUS] (number), [VISIBILITY (distance) (units) (or RUNWAY VISUAL RANGE (or RVR) (distance) (units))] [TIME (time)].","To request aerodrome data for departureNote.— If multiple visibility and RVR observations are available, those that represent the roll-out/stop end zone should be used for take-off.",Aerodrome and Vicinity,"LGL123 runway zero niner, wind one hundred degrees seven knots, QNH one zero one twol, temperature five, runway visual range two four zero metres.",The Controller
"RUNWAY (or TAXIWAY) (number) WET [or DAMP, WATER PATCHES, FLOODED (depth), or SNOW REMOVED (length and width as applicable), or TREATED, or COVERED WITH PATCHES OF DRY SNOW (or WET SNOW, or COMPACTED SNOW, or SLUSH, or FROZEN SLUSH, or ICE, or ICE UNDERNEATH, or ICE AND SNOW, or SNOWDRIFTS, or FROZEN RUTS AND RIDGES)].",To pass information on aerodrome conditions.,Aerodrome and Vicinity,"Runway zero niner snow removed one thousand eight hundred meters, taxiway Charlie covered with frozen ruts or ridges.",The Controller
"RUNWAY REPORT AT (observation time) RUNWAY (number) (type of precipitant) UP TO (depth of deposit) MILLIMETRES. BRAKING ACTION GOOD (or MEDIUM TO GOOD, or MEDIUM, or MEDIUM TO POOR, or POOR or UNRELIABLE) [and/or BRAKING COEFFICIENT (equipment and number)].",To pass information on aerodrome conditions.,Aerodrome and Vicinity,Runway report at time one zero two five runway zero niner wet snow up to one zero millimetres. Braking coefficient friction tester zero point two seven.,The Controller
RUNWAY VISUAL RANGE (or RVR) [RUNWAY (number)] (distance) (units).,To report RVR,General,Runway visual range runway zero niner six hundred metres.,The Controller
